"Gene_A"	"Gene_B"
"A8K1F4"	"MCM5"
"A8K1F4"	"MCM7"
"A8K1F4"	"GNAL"
"A8K1F4"	"CRAT"
"A8K1F4"	"GRK6"
"A8K1F4"	"PSMC4"
"A8K1F4"	"MCM2"
"A8K1F4"	"HCFC1"
"A8K1F4"	"MLF1"
"A8K1F4"	"NLRP12"
"A8K1F4"	"ETF1"
"A8K1F4"	"GNB1"
"A8K1F4"	"GNB2"
"A8K1F4"	"PSMD2"
"A8K1F4"	"SKP2"
"A8K1F4"	"SIM2"
"A8K1F4"	"RCN2"
"A8K1F4"	"SETDB1"
"A8K1F4"	"STK11"
"A8K1F4"	"KLHL38"
"A8K1F4"	"EIPR1"
"A8K1F4"	"Q59FM5"
"A8K1F4"	"Q59G26"
"A8K1F4"	"Q59H13"
"A8K1F4"	"FLJ00321"
"A8K1F4"	"CYFIP1"
"A8K1F4"	"GET4"
"A8K1F4"	"Q8IWP3"
"A8K1F4"	"SIRT6"
"A8K1F4"	"HUS1B"
"A8K1F4"	"MYHBETA"
"A8K1F4"	"RABGGTA"
"A8K1F4"	"SMARCD2"
"A8K1F4"	"KAT5"
"A8K1F4"	"Q96BE0"
"A8K1F4"	"DNAJC7"
"A8K1F4"	"BAG1"
"A8K1F4"	"AARSD1"
"A8K1F4"	"TSSK6"
"A8K1F4"	"TUBB1"
"A8K1F4"	"WDR55"
"A8K1F4"	"TLR7"
"A8K1F4"	"EIF2AK4"
"A8K1F4"	"COPG2"
"A8K1F4"	"HDAC6"
"A8K1F4"	"HSPB8"
"A8K1F4"	"BAG5"
"A8K1F4"	"ANKRD50"
"A8K1F4"	"G7"
"A8K1F4"	"STUB1"
"A8K1F4"	"DNM3"
"A8K1F4"	"NOD1"
"A8K1F4"	"FARSA"
"A8K1F4"	"AAR2"
"A8K1F4"	"GTF3C5"
"A8K1F4"	"COPG1"
"A8K1V4"	"NR1H4"
"SEPT3"	"EIF6"
"SEPT3"	"MAPK6"
"A8K251"	"BAG2"
"A8K251"	"HSP90AB1"
"A8K251"	"MLF1"
"A8K251"	"Q96BE0"
"A8K251"	"AARSD1"
"A8K2I7"	"GSK3B"
"A8K2I7"	"LRP2"
"A8K2I7"	"ZFPM1"
"A8K2R3"	"KRT38"
"A8K2R3"	"PSMC3"
"A8K2R3"	"GOLGA2"
"A8K2R3"	"NMI"
"A8K2R3"	"TRIM54"
"A8K2R3"	"TRIM39"
"A8K2R3"	"WASHC3"
"A8K379"	"CSNK2B"
"A8K379"	"KHDRBS1"
"A8K379"	"DOK1"
"NR1B3"	"NR2B1"
"NR1B3"	"NR2B3"
"NR1B3"	"OIP5"
"NR1B3"	"RXRB"
"NR1B3"	"RXRG"
"NR1B3"	"MRPL12"
"NR1B3"	"PSMC5"
"NR1B3"	"PNRC1"
"NR1B3"	"IL24"
"NR1B3"	"NR0B2"
"NR1B3"	"NCOA1"
"NR1B3"	"LSR"
"NR1B3"	"RHPN2"
"NR1B3"	"ACY3"
"NR1B3"	"MAP6"
"NR1B3"	"ZNF576"
"NR1B3"	"PNRC2"
"NR1B3"	"SPHK1"
"NR1B3"	"ITGB1BP2"
"NR1B3"	"MTMR6"
"NR1B3"	"NCOR2"
"NR1B3"	"NCOA3"
"A8K3Q9"	"PEX5"
"A8K4Y7"	"ZCWPW1"
"A8K5H9"	"ZBED1"
"A8K5H9"	"REL"
"A8K5H9"	"TASOR2"
"A8K5H9"	"C7ORF31"
"A8K5H9"	"LRRC29"
"A8K5M4"	"SORBS3"
"A8K673"	"CEBPE"
"A8K6G4"	"IGFBP3"
"A8K6K1"	"NCBP1"
"A8K6K1"	"ITSN1"
"A8K6K1"	"TRIM51"
"A8K6K1"	"ZNF451"
"MAP3K7IP1"	"MAP3K7"
"MAP3K7IP1"	"HNRNPR"
"MAP3K7IP1"	"URB1"
"MAP3K7IP1"	"NXPH3"
"MAP3K7IP1"	"FN1"
"MAP3K7IP1"	"RPLP1"
"MAP3K7IP1"	"POLR3D"
"MAP3K7IP1"	"EPRS1"
"MAP3K7IP1"	"PRKAR1A"
"MAP3K7IP1"	"CKB"
"MAP3K7IP1"	"CFL1"
"MAP3K7IP1"	"RPL10"
"MAP3K7IP1"	"LAP3"
"MAP3K7IP1"	"SERPINA4"
"MAP3K7IP1"	"PPP2R1A"
"MAP3K7IP1"	"CORO1A"
"MAP3K7IP1"	"CASP6"
"MAP3K7IP1"	"PPP2CB"
"MAP3K7IP1"	"RBX1"
"MAP3K7IP1"	"FADD"
"MAP3K7IP1"	"WTAP"
"MAP3K7IP1"	"PPP1R7"
"MAP3K7IP1"	"TRIP6"
"MAP3K7IP1"	"MAPK14"
"MAP3K7IP1"	"SNRNP35"
"MAP3K7IP1"	"DBN1"
"MAP3K7IP1"	"ASRGL1"
"MAP3K7IP1"	"MON1A"
"MAP3K7IP1"	"MAPKAPK5"
"MAP3K7IP1"	"PHC2"
"MAP3K7IP1"	"MICAL1"
"MAP3K7IP1"	"TRPC4AP"
"MAP3K7IP1"	"PTPMT1"
"MAP3K7IP1"	"PDCD6IP"
"MAP3K7IP1"	"KIFC2"
"MAP3K7IP1"	"CDK5RAP3"
"MAP3K7IP1"	"PHACTR3"
"MAP3K7IP1"	"ARAP1"
"MAP3K7IP1"	"ACAP3"
"MAP3K7IP1"	"CARD11"
"MAP3K7IP1"	"MTG2"
"MAP3K7IP1"	"WDCP"
"MAP3K7IP1"	"TAB2"
"MAP3K7IP1"	"C9ORF78"
"MAP3K7IP1"	"XPO7"
"MAP3K7IP1"	"LCMT1"
"MAP3K7IP1"	"POLDIP2"
"MAP3K7IP1"	"GIT1"
"MAP3K7IP1"	"TSSC4"
"A8K6V0"	"WWP2"
"A8K6V0"	"LMO4"
"A8K6V0"	"SEC23B"
"A8K8G8"	"PSMD4"
"A8K8G8"	"FRMD6"
"SFI1"	"CRX"
"SFI1"	"LPXN"
"SFI1"	"KRT19"
"SFI1"	"GCSH"
"SFI1"	"CETN2"
"SFI1"	"GOLGA2"
"SFI1"	"CCDC57"
"SFI1"	"RBPMS"
"SFI1"	"FAM131C"
"SFI1"	"CCDC120"
"SFI1"	"RADIL"
"SFI1"	"CDC5L"
"SFI1"	"MDFI"
"SFI1"	"SERTAD1"
"SFI1"	"MAD2L2"
"ZNF785"	"KRTAP10-1"
"ZNF785"	"KRTAP10-5"
"ZNF785"	"MTUS2"
"ZNF785"	"PRR7"
"ZNF785"	"EHMT2"
"ZNF785"	"HOOK1"
"ZNF785"	"MID2"
"A8K8Y5"	"MTUS2"
"A8K900"	"DOCK8"
"A8K932"	"TRIM37"
"A8K932"	"TRIM27"
"A8K932"	"KRTAP10-9"
"A8K932"	"IKZF1"
"A8K932"	"EFHC2"
"A8K932"	"JAKMIP2"
"A8K932"	"ZBTB8A"
"A8K932"	"PRMT6"
"A8K932"	"LZTS2"
